,cluster,rank,cohort,best_time,xp,achievement_rating,TL_games_played,TL_games_won,TL_play_time,num_records,time_played,final_time_avg,pps_avg,inputs_avg,score_avg,pieces_placed_avg,singles_avg,doubles_avg,triples_avg,quads_avg,all_clears_avg,finesse_faults_avg,finesse_perf_avg,percent_perf_avg,kpp_avg,kps_avg,final_time_pb,pps_pb,inputs_pb,score_pb,pieces_placed_pb,singles_pb,doubles_pb,triples_pb,quads_pb,all_clears_pb,finesse_faults_pb,finesse_perf_pb,percent_perf_pb,kpp_pb,kps_pb
21,21,324395.8230492141,105.79512069610779,106.0,144631.15286768583,4.908869760479042,131.280127245509,53.20251684131737,49488.11623804994,15.998643338323353,36045742.008669056,125648.15975673459,0.8941686028031212,509.95916724760934,9982.933051577895,108.78761239880096,15.884376115347488,5.210796239774527,1.7199992762672698,2.178501231596824,0.008612700217938512,151.90241770778758,47.47994869053033,0.43662816239926394,4.685679152180382,4.1597662180595965,105759.11271207586,1.0041371135601729,465.5273905314371,9969.964118637725,104.71542851796407,16.039132672155688,4.810581961077844,1.7453920284431137,2.301155501497006,0.0,130.07021893712576,48.47027039670659,0.4627392909352065,4.4460293192535,4.4526876294012325
22,22,331154.2173943563,106.71623613645936,107.0,188730.84419695116,2.0178646637652675,198.9113084374561,85.91773129299453,62088.40059884826,10.15327109364032,79829622.00149769,125479.89589449104,0.9035178494599715,548.2434708606795,11815.051833745123,109.73627132855528,8.372096068861762,2.919034462012552,1.4684344498624142,5.361729503266513,0.010331569216491181,169.65814858946624,44.53906409305034,0.4055720081472128,4.9953119736779605,4.482466476963924,107073.76409752444,1.0107136419949647,506.8989540923768,12456.978028920399,106.57352941176471,5.8783869156254385,1.690474519163274,1.3023655763021198,6.7382774112031445,0.0,150.66548504843465,45.18510459076232,0.4236520762466202,4.757225689680918,4.796711974428224
23,23,331591.7110494683,106.84532799095906,107.0,216369.70943685848,1.0815482611599117,220.88128627934452,87.50824472183696,70414.74222764076,11.195253505933117,109440042.33057205,126907.5526339504,0.8800788313970813,468.89437065710837,10338.089166569032,108.24393764083904,14.256603154453531,4.7705261833392685,1.7299040723212884,2.785181839954115,0.011071812815594089,119.51266891328326,55.878128873863545,0.5164042835580014,4.329714985649861,3.786385818627897,107270.48676392528,0.9885531148969572,430.0781835927467,10376.681820516773,104.70532182668104,14.158319206862895,4.0617968870396055,1.781681820516772,3.114604201982843,0.0,100.88742487286177,57.352108696768894,0.5476286736910335,4.107764740438733,4.053144042059823
24,24,390546.11207091785,114.9591381151121,115.0,156544.37669815362,3.5390339383351126,159.54084570836974,62.44016305930312,54619.4011676285,14.113009155909282,53778880.55416727,135004.62475165172,0.8367437985625844,633.2147163881594,9899.231355696584,109.82372935893558,15.988640326312215,5.174007884931552,1.7336497359414138,2.1619523987288014,0.007369497113718881,245.73765570051137,28.59264099848717,0.26015612320441883,5.765143261992857,4.799344969326033,115040.01245591899,0.9293024960934844,581.8837878934938,9945.530848620143,105.38008347083374,16.08796790578796,4.7115403280597885,1.7592934096864992,2.332945096897344,0.0032029505969135203,221.33236274224336,28.209194732925685,0.2673230576804848,5.523072431482942,5.122563290395443
25,25,424894.75090182316,122.49556400506971,122.0,244603.36455769578,2.712294043092522,245.05713171492638,96.43053524422346,80067.72080156014,10.506775860388029,76681856.50305861,144608.88438561413,0.8315467416194268,518.10555619024,11775.946333675425,108.67884990677268,15.834427690463038,5.221105197465891,1.499979693938926,2.160829373922368,0.35803084992516,149.80460476667025,50.572943547557585,0.4659774744815093,4.760864007833976,3.867559878481017,122768.33333333333,0.9422381447211763,474.8668226576972,14192.851711026617,105.23340157940919,15.970751681778298,5.242566052451984,1.4277079067953593,2.144974163985571,1.0253485424588087,126.29306814858145,52.778492736667644,0.5017273193075699,4.508418906834568,4.159278054825691
26,26,463189.40657507913,125.1188658977838,125.0,104827.72625289498,1.117876526458616,110.36612392582542,40.277334916327455,37690.97232601106,9.205167345092718,73051481.96075916,144247.19183181805,0.7795653012861159,565.121299448121,9568.341403859222,109.68582243188857,16.539353884623765,6.8585643958050335,1.6714891018052314,1.2428225142820672,0.005787276276948484,198.44084348449178,37.576108438894714,0.34254287419897445,5.151196263517016,3.997023989086999,125483.78608849691,0.8526252375368594,524.5534825870647,9503.63763568521,105.65954319312529,15.927691090004522,8.197817729534147,1.4171472184531886,0.902928539122569,5.653550429669833e-05,179.7671302578019,37.096279963817274,0.3509050274146925,4.964663747400686,4.224603426050838
27,27,471577.95945976675,126.28689661444714,126.0,134363.1732117813,0.6729496828175803,157.25315477137855,58.21272822355108,46618.45753387013,9.774652690934722,108099428.43885177,148532.21988336687,0.7556232623697666,569.5992557914353,9887.852488050294,109.34495938602201,16.038734239004857,4.953265945677657,1.756140858436111,2.251138643236238,0.006833215547585331,196.97340460164511,37.79460680570708,0.34563033895847634,5.207537010962406,3.914108093620126,126706.30711746738,0.8393812017465586,522.9011163911689,9912.432914212955,105.15918237420705,16.508969782406037,4.202337372956504,1.8219003660671653,2.4371433118846775,2.273709101657534e-05,174.70846501898546,37.7797003251404,0.35909758725169105,4.97317518421135,4.167280381729304
28,28,525454.9701383831,134.5484340859432,135.0,111643.25935826922,2.6488805851990245,96.73846543589094,34.78992368346053,40475.89439261746,12.277399537667437,46505767.652844556,156024.37677173267,0.7193968477402313,446.19355615565553,9604.47917244533,108.76505989291778,17.438557867455124,5.909601649104388,1.6610775096792985,1.490875088171818,0.008228678981326183,110.27685205630934,60.07518162646238,0.5527625100274192,4.1005313324743415,2.9351083377071605,134484.2554651298,0.7962154991297972,411.6793438677602,9540.659045568258,105.14724975458374,17.8960068399886,5.98081003198328,1.5960606732322113,1.371987713353811,0.0008233319611133981,93.15320307799487,61.47164254726242,0.584594227314824,3.9152858694251647,3.11049724737402
29,29,550571.655202113,138.41995865870464,138.0,116742.31856072276,1.4479214515388148,126.27658474965548,48.91794901240239,36747.37307397467,3.7325447864033072,72545996.57070684,151924.20138965626,0.8102825933575324,557.8221100254037,10158.588412751049,118.78255007667933,14.873479022268116,5.692683797324224,1.7757097793691283,2.1890492829958745,0.003745609902127081,160.84215257484607,55.25814095751825,0.4640541286098741,4.704534065669203,3.7766388903089076,138791.29957127548,0.8854923937783499,543.3521474506201,10295.020326136886,120.10547772163528,14.504880569591181,5.554892053284337,1.7694074414331649,2.393833256775379,5.7418465778594396e-05,147.29220257234726,58.78020211299954,0.4891261316716794,4.52741586061255,3.9921646476844903
30,30,592731.2834124917,144.52201113324142,145.0,110426.32137168547,0.4140237985802564,122.56807619631275,40.73673458965324,39032.70788633851,8.4741586231551,107056812.45811675,167999.82652098514,0.6681261457329325,496.9532376813038,9493.419685801595,109.21200287699412,17.491345009704336,6.00202391808494,1.691784347839046,1.4192450974097166,0.0069478438517120164,149.1835925632596,49.61168550841638,0.45455182508878983,4.54860171247489,3.0249614141120666,144919.61152818208,0.7362353711816306,458.24837853020784,9423.175195342425,105.26791277258567,17.998212552985038,6.21319135897043,1.5959603697461826,1.2368367294826617,0.0,130.58355038047085,49.96088044532966,0.47448826782345527,4.353729154912157,3.201152057923601
